uuid,year,title,artist,genre,priority_artist_gender,lyrics
1,1970,Bridge over Troubled Water,Simon and Garfunkel,rock,m,"When you're weary feeling small When tears are in your eyes I will dry them all I'm on your side When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down Sail on Silver Girl, Sail on by Your time has come to shine All your dreams are on their way See how they shine If you need a friend I'm sailing right behind Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind"
2,1970,(They Long to Be) Close to You,The Carpenters,pop,u,"Why do birds suddenly appear Every time you are near? Just like me, They long to be Close to you. Why do stars fall down from the sky Every time you walk by? Just like me, They long to be Close to you. On the day that you were born the angels got together And decided to create a dream come true. So, they sprinkled moon dust in your hair of gold And star light in your eyes of blue. That is why all the girls in town Follow you all around. Just like me, They long to be Close to you. On the day that you were born the angels got together And decided to create a dream come true. So, they sprinkled moon dust in your hair of gold And star light in your eyes of blue. That is why all the girls in town Follow you all around. Just like me, They long to be Close to you. Just like me, They long to be Close to you. Why? Close to you Why? Close to you Ha, close to you Why? Close to you"
3,1970,American Woman,The Guess Who,rock,m,"American woman, stay away from me American woman, mamma let me be Don't come hanging round my door I don't want to see your face no more I got more important things to do Than spend my time growing' old with you Now woman, stay away American woman, listen when I say American woman, get away from me American woman, mamma let me be Don't come knocking on my door I don't want to see your shadow no more Colored lights can hypnotize Sparkle someone else's eyes Now woman, get away American woman, listen when I say American woman, I said get away American woman, listen when I say Don't come hanging' round my door Don't want to see your face no more I don't need your warm machines I don't need your ghetto scenes Colored lights can hypnotize Sparkle someone else's eyes Now woman, get away American woman, listen when I say American woman, stay away from me American woman, mamma let me be I got to go, I got to get away Babe, I got to go I want to fly away I'm going to leave you woman I'm going to leave you woman I'm going to leave you woman I'm going to leave you woman Bye, bye Bye, bye Bye, bye Bye, bye American woman You're no good for me And I'm no good for you American woman I'm looking at you right in the eye Tell you what I'm going to do I'm going to leave you woman You know I got to go I'm going to leave you woman I got to go American woman I got to go I got to go American woman, yeah"
4,1970,Raindrops Keep Fallin' on My Head,B.J. Thomas,country,m,"Raindrops keep falling on my head Just like the guy whose feet are too big for his bed, Nothing seems to fit. Those raindrops are falling on my head, they keep falling So I just did me some talking to the sun And I said, I didn't like the way, he got things done. Sleeping on the job. Those raindrops are falling on my head, they keep falling But there's one thing, I know The blues, they send to meet me won't defeat me, It won't be long till happiness steps up to greet me. Raindrops keep falling on my head, But that doesn't mean my eyes will soon be turning red, Crying's not for me. And, I'm never going to stop the rain by complaining, Because I'm free Nothing's worrying me!"
6,1990,Foo,Bar,rb,m,
5,1970,War,Edwin Starr,rb,m,"War huh Yeah! Absolutely uh-huh, uh-huh huh Yeah! Absolutely Say it again, y'all huh look out! Absolutely Listen to me Ooh war, I despise Because it means destruction of innocent lives War means tears, to thousands of mother's eyes When their sons go off to fight and lose their lives I said, war Good God, y'all! Absolutely 'gin Say it, again whoa whoa-whoa, Lord Absolutely Listen to me! It ain't nothin' but a heartbreaker! Friend only to the undertaker Ooh, war Is an enemy to all mankind The thought of war blows my mind War has caused unrest Within the younger generation Induction, then destruction Who wants to die? Ooh war, Good God y'all! Absolutely Say it, say it, say it Woah-h'uh yeah uh nothin' Listen to me It ain't nothin' but a heartbreaker It's got one thing and that's the undertaker Ooh, war Has shattered many a-young man's dreams Made him disabled, bitter, and mean And life is much too short and precious To spend fighting wars each day War can't give life It can only take it away Oh, war! Good God, y'all Absolutely Say it, again Whoa whoa-whoa, Lord A-absolutely Listen to me! It ain't nothin' but a heartbreaker Friend only to the undertaker Woo! Peace, love and understanding tell me Is there no place for anything else? They say we must fight To keep our freedoms But Lord, knows there's got to be A better way Oooh God, y'all! You tell 'em! Say it, say it, say it Good God now, huh Fades- Stand up and shout it It ain't nothin' but a heartbreaker Ooh, war. ~"
